epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,274.378,3.0082,0.54087,0.86647,1.55579,7.08554e-05,7.08554e-05,7.08554e-05
2,322.915,1.21199,0.84084,0.99413,0.49236,0.000134834,0.000134834,0.000134834
3,359.99,0.63935,0.92157,0.99758,0.24408,0.000191783,0.000191783,0.000191783
4,397.536,0.45938,0.94784,0.99936,0.15267,0.000181369,0.000181369,0.000181369
5,437.445,0.37896,0.96455,0.99949,0.11443,0.000170826,0.000170826,0.000170826
6,476.504,0.32713,0.96748,0.99987,0.09314,0.000160282,0.000160282,0.000160282
7,516.009,0.29461,0.97322,0.99949,0.08287,0.000149739,0.000149739,0.000149739
8,763.937,0.27138,0.97398,0.99974,0.07442,0.000139196,0.000139196,0.000139196
9,831.124,0.24886,0.97692,0.99949,0.06685,0.000128652,0.000128652,0.000128652
10,870.663,0.23532,0.98061,0.99962,0.05666,0.000118108,0.000118108,0.000118108
11,1256,0.22212,0.98151,0.99962,0.0532,0.000107565,0.000107565,0.000107565
12,1308.71,0.21133,0.9838,0.99974,0.04981,9.70215e-05,9.70215e-05,9.70215e-05
13,1346.98,0.20757,0.98546,0.99962,0.04398,8.6478e-05,8.6478e-05,8.6478e-05
14,1385.78,0.19671,0.9889,0.99962,0.03666,7.59345e-05,7.59345e-05,7.59345e-05
15,1426.51,0.19558,0.98827,0.99962,0.03666,6.5391e-05,6.5391e-05,6.5391e-05
16,1466.68,0.18358,0.98954,0.99962,0.03387,5.48475e-05,5.48475e-05,5.48475e-05
17,1508.88,0.17269,0.98916,0.99974,0.0336,4.4304e-05,4.4304e-05,4.4304e-05
18,1549.05,0.17054,0.98967,0.99987,0.03166,3.37605e-05,3.37605e-05,3.37605e-05
19,1587.45,0.17404,0.99133,0.99974,0.03008,2.3217e-05,2.3217e-05,2.3217e-05
20,1624.92,0.16566,0.99069,0.99987,0.0297,1.26735e-05,1.26735e-05,1.26735e-05
